What are you hoping to gain from the community?,What are you hoping to gain from the community - SUMMARY,How did you hear about Underdog Devs,
I am looking forward to learning new skills and receiving guidance to get my foot through the door in terms of job opportunities and also to network with people and be able to do the same for others in future.,,,
Going from a self-taught developer to getting a full-time software job ,,,
To join the next cohort and become better,,,
"Experience, Guidance, Awareness of specific aptitudes. Eventually a high paying, long lasting career in IT",,,
Support to find a coding job while on the Autistic Spectrum,,Traversy Media Youtube,
Guidance,,,
Gain enough skills which I'll then use to solve problems for living. ,,,
Job opportunities and mentorship,,,
I'd like to gain a helping hand towards a career that could help to improve my quality of life. ,,Troy Brewer and Allison Tharp,
"I would like to ask  help while iam learning, when o stuck to figure out things",,,
To become good in what I am doing and to meet people with higher experience than mine.,,,
"I'm new tech, So I am ready to learn, be educated, and above all get guided and thoroughly mentored",,,
"I don't think I can continue this tech journey alone, I really need a mentor to hold my hand and guide me through this journey till I'm strong enough to fly.",,,
To be fully empowered as a software engineer being a drop out of high school in my country,,,
"I just need like minded individuals, i’m close to giving up but i don’t want to. I really hope it gets better.",,,
"Experience, being a part of teamwork and stuff like that, learning and helping out others, getting help from others, work with others, and future goals, basically that's all.",,,
"I'm hoping to gain specialized and realistic advice that will help me get my foot in the door for developer positions. A recurring roadblock when I'm teaching myself programming is the question ""Even if I put in all the effort in the world, will my mistake from 4 years ago bar me from pursuing this or other paths?"" A majority of the online motivational gurus motivate people by explaining their own hardships and gains, but I find myself wondering if their hardships are an entirely different story from mine, and if the hole I'm in is impossible to climb out of. Therefore, I'm hoping for a mentor, who can assure me with their own experience and guidance, that my labor can eventually bear fruit and steer me away from those invasive thoughts. ",,,
"I prepared myself as a self-taught developer but being from a tiny 'third-world' (for the lack of a better term) country in Asia, I don't have any way to compare where I stand and what else to do to meet the global standard. I need guidance on going to the next level and prepare for interviews.",,,
"People who i can code with as well as helping other people pushing them forward when it comes to struggling with coding. Maybe a job for an experience, but im more focused on programming as creating cool things, not just the money. ",,,
Job,,,
My hope is find a mentor for improve my data engineer career. Because I need really support to survive,,,
To get good exposure of the dev community and have to get a high paying job to support my family financially,,,
"Improve my skills, gain confidence and be accountable.",,,
"Whatever help they can offer me ,I'm desperate for help ",,,
I hope to acquire and have a better knowledge of frontend skills that can get me job,,,
Practice with interview challenges,,,
learn web dev,,,
To gain knowledge that’ll allow me to pursue a career in cyber security. ,,,
To get out of this bad town and get away from negative and bad people ,,,
A lot of motivation to keep going and believe in myself. I don't feel like I know enough to get started working. That imposter syndrome ,,,
To learn how to code and get job to help my siblings go to school,,,
Job and community support,,Traversy media,
I am hoping to gain employment. ,,Linkedin,
a lot,,,
"I am hoping to get a new career and a new life, graduated university 7years ago, got another degree and still no stable job in sight...hoping to be dedicated to this and get a job where age or color isn't a barrier, just skills. I am hoping to build my intellect and be skilled at programming. ",,Twitter,
Connection,,twitter,
I am hoping to meet developers who will put me through and also help in my software development journey. I am also looking to build projects and land my first job in tech.,,Rick on Twitter,
"Networking, to know what I'm lacking as a junior Backend developer, the type of projects that I need to do to get a job and basically just other programmer that I can talk too",,from there Twitter profile,
I am hoping to gain knowledge that will kickstart my tech career and make me a better software engineer,,Twitter,
I sincerely believe that this opportunity at Underdog is an excellent life changing chance to grow my soft skills and technical skills given my desire to transform ordinary ideas into innovative realities. I have constantly sought to learn new techniques and skills in this field in such a way that has prepared me for this amazing learning process. I am indeed looking forward to working with a super creative community and hopefully landing a job at the end of this program.,,I heard about it from Rick on twitter,
Reentry into the work force to be a help to others,,Facebook,
Just a chance to get my foot in the door.,,Found you guys on Twitter!,
I am hoping to make more connections within the industry and hopefully secure my first developer positon. ,,twitter,
A laptop,,From a friend,
"Growth, Knowledge, Skills",,My cousin who is a member,
Networking and support while searching and preparing for my first job ,,Twitter friend who is part of community ,
"I am would love support (technical knowledge when I get stuck in my code and encouragement when things get intimidating and/or frustrating), feedback on projects, career advice (job search, resume, and interview tips and navigating the tech job market with felony convictions), and general guidance on how to be a great developer. ",,A peer from the 100 Devs online boot camp,
"To learn as a mentee, and hopefully when I am capable to give back, I would like to contribute by mentoring others",,,
A career. ,,,
A job,,,
Looking for direction in the tech industry and to land a career,,,
Mentorship and job opportunities,,,
Help learning Javascript,,,
Fullstack developer ,,,
I want get a remote job in tech but i always get rejected ,,,
Connecting with members with similar interest and building a personal network around these interest.  ,,,
I have been searching and scouring the last week or so to find people in a similar situation with me where I could get a judgement free zone where I could ask the important questions about the things that only people who have been in my shoes could understand.  Having that comfortability allows me to approach something that I've always been interested in with much better direction.  Also looking for great community and a way to pay it forward to a group of people who are just like me but don't have some of the means or resources to make certain things happen.,,,
Information from people in a similar situation. ,,,
I would love some kind of opportunity to rejoin the analytical world. All opportunities that I have found thus far have been unskilled labor outside of my expertise,,,
Practical tips and knowledge to increase my chances of breaking into tech.,,,
I want to become a confident software engineer and be building relevant products within 6 months.,,,
Any kind of mentor or financial support ,,,
Guidance on what skills I should be learning (make sure I'm on the right track) and any questions about the industry I have in general. Pretty much gaining any knowledge anyone has to throw at me.,,,
Gaining mentorship. Learning from others . Growing as a person! ,,,
A job and ultimately a career in technology & data science. ,,,
As I learn and grow in the dev field I want to be tapped into a community of folks who can help me on my path forward. In the future I would like to help others as well. ,,,
Become a better programmer in a field that is male dominated and lacks diversity,,,
programming skills and potentially a job,,,
"I hope to first prep for an upcoming interview, then further my knowledge in C#, finally I'd like to learn other common languages such as Java, Python, etc.",,,
Getting a job in tech,,,
"Support, Mentorship",,,
"Better understanding.  Thus far in my coding journey there have been ups and downs.  What has made the difference was the peer programming.  I've never been someone who likes to bother people and I'm careful of overstepping.  I just feel like I never want a peer programing session to end, it helps that much.  Having someone with a better understanding than I, explain concepts in layman's terms is most helpful. Even when my understanding is better, it helps to cement knowledge that I have attained.",,,
A better sense of understanding how to properly read questions and know what they are looking for. ,,,
"Tools for steady employment in Tech, interview prep, one-on-one targeted guidance to help me get to the next level in my understanding of programming. ",,,
Gaining knowledge and tools for a career in tech.,,,
"Knowledge and expertise in guidance and instruction to the a prospect of obtaining a remote position as a developer, whilst being a convicted felon.",,,
Encouragement and  accountability. ,,,
"I want to meet programmers, as well as aspiring ones like myself. Sharpen my skills. Build relationships with folks in the community. Ultimately I’d like get to a place where I can help other people interested in getting started",,,
"A better understanding of coding, and the world around me.",,,
Learning and opportunity. ,,,
"Help developing myself as a programmer, ge confidence on my skills to be able reach a good life in field i have always loved",,,
"Family , job , and a success story ",,,
"Resources for best route to learn, help with employment eventually",,,
Building Tech Start-Ups as a Technical Founder ,,,
The ability to learn javascript and gain a career.,,,
A working career and support system,,,
I wanna get some answers and directions about my path,,,
Advice and tips on job search and when and how to broach the subject of criminal history,,,
"The ultimate goal is a full-time, remote job doing Android development. I'd love to make connections and receive mentorship to help sharpen my skills. I'd also like to learn more about how to both get interviews and do well in them.",,,
mentorship,,,
More knowledge of the industry. A full time job coding. ,,,
"Connections, networking, meet like minded people and entrepreneurial people,  ways to contribute to the community ",,,
I’m hoping to gain a career in technology and one day becoming both a mentor and financial contributor to this program. ,,,
Hoping to gain skills and a position in technology that will be beneficial to my family. My goal is to one day be a mentor for your program.,,,
Career direction and advice,,,
"To become a better developer, learn to work effectively with other developers, network and to ultimately land a career in tech.",,,
I’d like to learn how to write code and have a career where I don’t have to travel as much.  I’m on the road quite a bit keeping me from my sons.  With my felonies it has been difficult. ,,,
Open the game more experience as a developer that will help me with a job… then hopefully become a mentor ,,,
Confidence ,,,
"Resources, tips, guidance, inspiration and a sense of belonging. ",,,
"A degree, someone to help guid me into finding a career for myself ",,,
Guidelines and feedback for best practices as well as industry knowledge while I undertake my self-teaching regimen.  Ex:  I read a lot about privacy and security issues however lack a meaningful way to interact with this side of the industry sans a related job.,,,
Experience,,,
A job in software development where I can be mentored into growing my skills and my career. I have had a hard time providing for my family because 6-figure job offers keep getting rescinded,,,
I’m hoping to gain guidance in what path/bootcamp  to take to become an iOS developer. ,,,
"Assistance and guidance in choosing and applying the right web programming platform, though, I have decided to go with the above mentioned, python, django and or JavaScript(and its frameworks) ",,,
"Knowledge, I’m always hungry to learn ",,,
To learn Software Development Methodology and learn production level and how to get good in algorithms and datastructure,,,
Career guidance as I transition into tech ,,,
I’m a career changer continuously learning to pivot into tech,,,
Code along friends,,,
A chance at getting a job.,,,
A mentor,,,
An opportunity to learn from people with real-world experience and increase my employment chances,,,
"Someone to help guide me into software engineering who knows what they're doing, because I feel like I'm flopping.",,,
I'm here to learn more about the job application process and hopefully get some advice as I try to find a job in tech.,,,
"Computer skills, network, and build confidence.",,,
"To acquire computer skills,  network with others, and build confidence. ",,,
Hoping to gain a mentor and direction on my career path to becoming a Software Engineer.,,,
Advice and guidance in my career,,,
"I struggle with being an immigrant of low SES in this country. My family came here as refugees and religious minorities, so I often find it difficult to know what to do without any help. ",,,
To advance my programming skills and competencies ,,,
"Structure and direction so I learn what I need to learn and can start to fill in the blanks. Guidance towards employability or self sustainability, that's not factory or food related. Turn my heap into a stack.",,,
A mentor that can show me good coding practices and help me develop a better understanding of the full stack. Also improve in career job skills. ,,,
A job that pays well,,,
"Knowledge, learn something new and to get a job",,,
"A mentor to help me find a job! Where my weaknesses are and how I can stand out as a strong candidate despite my background. I want to be a data scientist, but a required subset of that is being a software engineer, and I might have the skills to just be one of those since there seem to be a lot more jobs in that field.",,,
A high paying job with benefits.,,,
Knowledge in becoming a developer ,,,
A pathway to return to society with meaningful employment so that I may be independent and not rely on state/government assistance.,,,
I'm hoping to gain a pathway towards meaningful employment and joining support networks to get me back on my feet again.,,,
More job offers & collaboration with other developers to prove my worth,,,
Further development of my Programming skills and employment opportunity.,,,
To become a professional programmer,,,
test,,,
I’m studying on a own and making a self bootcamp. I would like someone to ask questions and eventually I would like to get into a developer role. ,,,
Assistance with moving forward in my learning. Gaining skills needed (listed on job applications) and training up to get hired. ,,,
"Polish what I already know, add to my skill-set, Mentorship that will give me guidance and direction so I can break into this field",,,
I am hoping to learn from and apply what other developers with experience have garnered during their own journeys and one day give back to those who wish to learn.,,,
"Mentorship, industry contacts",,,
"The best I can get from here. Anything from how to code better, to being an excellent programmer. ",,,
Everything,,,
Help moving from online courses to jobs and access to developer communities.,,,
"Looking of ra helpful dev community, jobs of any kind, and help with complex coding issues. ",,,
Comradery and Newtwork  ,,,
Help while learning to code and land my first iOS developer job,,,
"Hoping to help people solve problems, satisfy my creative outlet and provide for my son",,,
"I want to learn enough to become a full stack web developer and lift my family out of poverty, my felony holds me back but I have turned my life around.",,,
"Skills, Network, and Motivation",,,
Employment,,,
"Hoping to find a group of people who are also learning iOS Development so I can have a community to become part of and be able to ask questions and teach and learn from them. I have so far been self taught so, I have never worked with another programmer and feel sort of out of place especially in the programming world as I don't have any formal education in the field and a lot of things go over my head so I will have to re-read it a few of times.",,,
Guidance/Mentorship as well as being a part of a community where i feel comfortable asking questions.,,,
Accountability & support. Tech is a beast of a topic and I would love to have the resources and support to take it on over time.,,,
More education and job opportunity,,,
"A community, accountability and networking for opportunities and social relationships. ",,,
"An opportunity for a job I might love and a skill I could use to help others like me to have a chance at a real choice where we work. I would love to have a job that isn't just because they are ""felon friendly"". ",,,
"I am hoping to gain some direction as to the languages that will be best for me to learn initially and going forward. I would love advice regarding the best class/learning options available. And I would also appreciate any  contacts and or opportunities that I may be able to develop in the community that may help me find a position in the industry once I am certified, etc. Specifically, I’d like to know that there will be opportunities available to someone with my record and advice regarding how to deal with it when applying for positions.",,,
insight ,,,
Insight on how to get a job in this industry with my background,,,
"To learn, grow, develop, network, and help.",,,
"Networking, navigating my way into the industry ",,,
I am afraid to ask questions and pair program at the moment. I am out of tutorial hell but I need someone who cares about iOS (and friends) to program with and get more comfortable. I practice algorithms and I love app architecture.,,,
"Mentorship, Interview prep",,,
Guidance into a new career ,,,
A career and a amazing network .,,,
"Hello - I'm hoping to gain a mentor and community experience that helps me improve my javascript and python skills. I really need someone skilled in either or both of them to help me boost my confidence while I boost my competence, and get to a place where I am economically empowered.",,,
programming opportunities ,,,
"A sense of whether this path is right for me, and where to start",,,
"To learn, to help where I can",,,
Learn as much as I can from others.,,,
"Guidance on what courses, programs to commit to. There’s so much out there. I’ve wasted time on some intro courses that led to nothing. I’d like to get real skills and use them in the real world. ",,,
Resources and Mentorship with Javascript,,,
Mentoring and Stipend,,,
"A mentor to guide me towards a successful software engineering career, help on assignments, Job referrals. ",,,
support,,,
"To learn, grow and be able to teach others",,,
"Resources, support, help with direction, and motivation ",,,
Advice on how to get a formal job (instead of Upwork haha),,,
A mentor as i journey through learning JS and full stack development. ,,,
Increased knowledge with JavaScript and its frameworks ,,,
A new career,,,
Experience job placement ,,,
"I would like to gain connections in the industry, find the gaps in my knowledge, gain a better understanding of what I need to know and come up with a plan to fill those in and land a job. I would like to gain a mentor and in future become a mentor for someone else so I can help them.",,,
Ability to transition into a stable career ,,,
all the knowledge that is provide to start a new career and in turn give back when i am able in the same way ,,,
"I'm hoping to gain the knowledge, know-how and experience to get a job as a software engineer. 

I'm hoping to build some interpersonal skills by interacting with (professional) people. 

I'm hoping for hope for the future as well.",,,
Experience suitable to work in the industry and make some friends,,,
To Be Able To Break Into Tech From Career Transition,,,
"Support, being a professional web developer or software programmer",,,
"Guidance on finding a job, resume advice, where to look as a new grad with my knowledge and current abilities. I figure I'll have to take some udemy classes to learn a real stack.",,,
assistance with job hunting,,,
Mentorship and guidance as I strive to develop web / mobile applications.,,,
Knowledge of coding,,,
Employable skills,,,
Life changing skill set to make me hireable,,,
Strong and meaningful connections,,,
Financial support and Guidance or you could say Mentorship. ,,,
employment and a stable income,,,
"I hope to gain a sense of community where people understand my journey, and leadership to help my acquire software engineering skills. ",,,
"A new skill , professionalism and new outlook on life.",,,
A second chance,,,
Employment opportunities and guidance,,,
Coding experience/A mentor ,,,
"Sense of community, mentorship, guidance in regards to employment, and ultimately the ability to pay it forward.",,,
Learn real world skills that will help me land a job or freelance gigs. I need that to provide for my family.,,,
Meet people and explore ways to get some assignment or job,,,
I'm hoping to gain opportunities that will elevate my career both in performance and work placement,,,
"A lasting relationship with my mentor, eventually a job.",,,
Better exposure and hoping to give opportunity to others that are underrepresented.,,,
"I want three things:
1. I want to get a job in the industry
2. I want to get good
3. I want to expand my domain (python web maybe? not entirely sure)",,,
To learn enough to help others as I am to impact life's and join a team were I can experience true love,,,
"One goal I have in reaching out to this community is to get some guidance so I'm not floating from course to course trying to ""master"" everything before moving on.  My main goal is to get a mentor so I can gain the knowledge to tie together all the skills I've been learning and get a full-time jr. web development job.",,,
I would like to connect w/ someone familiar w/ Jetpack Compose (new Android Development Tool).  It would be very helpful to be able to get some support from a person who is proficient in the technology and would be able to gently guide me as I continue to learn the technology.,,,
"I would like to be connected to a mentor so I can ask questions, learn the appropriate pathways to secure a job.  I would like someone familiar with Jetpack Compose.",,,
I would like to get a mentor who can firstly maybe explain my some fundamentals in more human way to get strong understanding of basic and the most important things. I would like to also work on some really challenges preferably weekly and have some feedback on how did I do. Basically to have someone with some ideas of how can I progress in my learning and kind of guide me on the way :) ,,,
"I want to make sure that when I am ready to start searching for a career that I am not discriminated against for my background nor do I accept less than I deserve because growing up poor conditioned me to believe that $50,000 a year might as well be $1,000,000. ",,,
"Solidifying my understanding of OOP, Functional Programming, System Design. I am merely a programmer and would like to understand the bigger stuff like infrastructure, security, load balancing, distributed designs, microservices",,,
"Inspiring stories, know how to be a web developer someday",,,
"I want mutual support, coding friends",,,
Knowledgeable and Career Advice,,,
Being able to find & deliver remote jobs ,,,
"Help, guidance, potential employment, networking.",,,
"A mentor that will help me get my foot in the door as a iOS developer and also be among like minded individuals who came from similar beginnings as myself. My mother was incarcerated from when I was born in 1994 until late 2013 so your mission strikes really close to home. I’d also like to be able to contribute in any way that I can, even if it’s helping teach basic swift fundamentals to new aspiring iOS developers. ",,,
"Hoping to gain some connections/grow my network. The only interview I've had so far landed me an offer but was retracted because of my background check. Hoping to gain some interview practice, meet some new folks, maybe work on some group projects with other developers.",,,
I’m hoping to become a JavaScript developer ,,,
"A Mentor, I'm open to learn 24/7 and willing to commit to this full time",,,
The skills to land a job as a Software Developer ,,,
Some guidance on where to go academically and industry wise. Maybe get a little better at what I already know. Not really sure where to go or what to work on. ,,,
Any advice is welcomed ,,,
"Friends, Mentors, chances at jobs and contributing to open source projects ",,,
"Mentor, First Job and Industry Guidance, Useful tips",,,
Career insights or opportunities,,,
get good mentors,,,
Valuable experience and Guidance  ,,,
"I'm just looking for an opportunity to receive instruction from people successful in this area of expertise that can guide me toward becoming successful myself.

Ultimately, I would like to pay it forward, and do the same for others.

The way I see it is that not everyone is born at the same point in the race of life. Some are born at the finish line, others in the middle of the race, and most at the starting line...

Then there are those who are born in deep pit, shackled and chained, that must dig themselves out, and break free before they can even begin to run the race. I want to help these people. I want them to know that these are not fundamental truths about who they are; nor do they dictate where they can go in life.

I want them to have the same opportunity as everyone else, and help them actualize their potential; I just have to finish getting there myself.

I'm going to get there one way or another, or at the very least, die trying.
",,,
Help finding stability and prosperity by putting my current and future skills to work. Help dealing with stress and anxiety that comes from feeling like I'm not enough or flawed and from mistakes. The chance to take my successes and pay them forward.,,,
guidance and aid in getting a job,,,
Gain some Experience and also support to land on a Job,,,
"Confidence, direction, and Understanding",,,
Just that -- community! So far my coding journey has been solo and I know I need support in order to be truly successful. I also know how important networking is and would like to explore job opportunities after gaining proficiency in software development. ,,,
I hope to encourage and inspire the community while learning industry standards. ,,,
Guidance on how to become a professional developer. I have the capacity but lack the knowledge of how to get in the door.,,,
I'm hoping I could get some sort of guidance and encouragement.,,,
Experience and mentorship in an industry that isn't going anywhere.,,,
A life. A life that I enjoy and feel good about. ,,,
To learn how to code and hopefully learn way more and get a good job,,,
would like to successfully land a job after many interviews and no offers. completed a boot camp ,,,
"Besides the generic answer of me wanting to gain a better understanding into full stack coding, my true answer will have to be that I yearn to be amongst the next generational wave of pioneers that will shape the world we live in.  ",,,
I am hoping to gain knowledge and guidance as I am interested in learning about a career in becoming a software developer. ,,,
Knowledge and training to excel in a career of being a software developer. ,,,
Knowledge and job skills,,,
Obtain a job or freelance,,,
Learning a new skill so I can change my socioeconomic status ,,,
"I want to help others, and I want to help myself move up the tech ladder",,,
Someone to have conversations with who can relate to me. I'm determined to better my life and I feel like a mentor could significantly help me to learn code and grow as a human.,,,
I hope I can improve my skills and get my first job as an iOS developer.,,,
Information and support. I am trying to break into a difficult field even with a clean background. Any guidance would be a boon.,,,
A new direction in life and some financial stability.,,,
A new direction in life and Financial stability,,,
A new direction in life and financial stability.,,,
Guidance and connections.  I messed up real bad back in April of this year and I'm not sure what to do to get back in this field.,,,
Networking opportunities,,,
"Advice/guidance on how to obtain a tech career with a criminal record, encouragement, sense of community, etc.",,,
"Community, someone who wants to build things to change peoeple's lives, and some to ask questions",,,
A community of people a place I can ask questions build and ask questions ,,,
Friendship and thinking out the box,,,
